date,duree,taux,type_taux,source
2000-01-01,fixation > 10 ans,5.7,moyen,banque_de_france_mir
2000-02-01,fixation > 10 ans,5.65,moyen,banque_de_france_mir
2000-03-01,fixation > 10 ans,5.73,moyen,banque_de_france_mir
2000-04-01,fixation > 10 ans,5.84,moyen,banque_de_france_mir
2000-05-01,fixation > 10 ans,5.81,moyen,banque_de_france_mir
2000-06-01,fixation > 10 ans,5.87,moyen,banque_de_france_mir
2000-07-01,fixation > 10 ans,6.04,moyen,banque_de_france_mir
2000-08-01,fixation > 10 ans,6.0,moyen,banque_de_france_mir
2000-09-01,fixation > 10 ans,6.04,moyen,banque_de_france_mir
2000-10-01,fixation > 10 ans,6.14,moyen,banque_de_france_mir
2000-11-01,fixation > 10 ans,6.08,moyen,banque_de_france_mir
2000-12-01,fixation > 10 ans,6.08,moyen,banque_de_france_mir
2001-01-01,fixation > 10 ans,6.13,moyen,banque_de_france_mir
2001-02-01,fixation > 10 ans,6.06,moyen,banque_de_france_mir
2001-03-01,fixation > 10 ans,6.0,moyen,banque_de_france_mir
2001-04-01,fixation > 10 ans,6.04,moyen,banque_de_france_mir
2001-05-01,fixation > 10 ans,5.95,moyen,banque_de_france_mir
2001-06-01,fixation > 10 ans,5.81,moyen,banque_de_france_mir
2001-07-01,fixation > 10 ans,5.81,moyen,banque_de_france_mir
2001-08-01,fixation > 10 ans,5.79,moyen,banque_de_france_mir
2001-09-01,fixation > 10 ans,5.66,moyen,banque_de_france_mir
2001-10-01,fixation > 10 ans,5.62,moyen,banque_de_france_mir
2001-11-01,fixation > 10 ans,5.56,moyen,banque_de_france_mir
2001-12-01,fixation > 10 ans,5.49,moyen,banque_de_france_mir
2002-01-01,fixation > 10 ans,5.4,moyen,banque_de_france_mir
2002-02-01,fixation > 10 ans,5.39,moyen,banque_de_france_mir
2002-03-01,fixation > 10 ans,5.49,moyen,banque_de_france_mir
2002-04-01,fixation > 10 ans,5.44,moyen,banque_de_france_mir
2002-05-01,fixation > 10 ans,5.45,moyen,banque_de_france_mir
2002-06-01,fixation > 10 ans,5.54,moyen,banque_de_france_mir
2002-07-01,fixation > 10 ans,5.45,moyen,banque_de_france_mir
2002-08-01,fixation > 10 ans,5.41,moyen,banque_de_france_mir
2002-09-01,fixation > 10 ans,5.41,moyen,banque_de_france_mir
2002-10-01,fixation > 10 ans,5.3,moyen,banque_de_france_mir
2002-11-01,fixation > 10 ans,5.2,moyen,banque_de_france_mir
2002-12-01,fixation > 10 ans,5.13,moyen,banque_de_france_mir
2003-01-01,fixation > 10 ans,4.97,moyen,banque_de_france_mir
2003-02-01,fixation > 10 ans,4.98,moyen,banque_de_france_mir
2003-03-01,fixation > 10 ans,4.85,moyen,banque_de_france_mir
2003-04-01,fixation > 10 ans,4.75,moyen,banque_de_france_mir
2003-05-01,fixation > 10 ans,4.64,moyen,banque_de_france_mir
2003-06-01,fixation > 10 ans,4.64,moyen,banque_de_france_mir
2003-07-01,fixation > 10 ans,4.42,moyen,banque_de_france_mir
2003-08-01,fixation > 10 ans,4.36,moyen,banque_de_france_mir
2003-09-01,fixation > 10 ans,4.36,moyen,banque_de_france_mir
2003-10-01,fixation > 10 ans,4.42,moyen,banque_de_france_mir
2003-11-01,fixation > 10 ans,4.51,moyen,banque_de_france_mir
2003-12-01,fixation > 10 ans,4.51,moyen,banque_de_france_mir
2004-01-01,fixation > 10 ans,4.57,moyen,banque_de_france_mir
2004-02-01,fixation > 10 ans,4.64,moyen,banque_de_france_mir
2004-03-01,fixation > 10 ans,4.52,moyen,banque_de_france_mir
2004-04-01,fixation > 10 ans,4.54,moyen,banque_de_france_mir
2004-05-01,fixation > 10 ans,4.37,moyen,banque_de_france_mir
2004-06-01,fixation > 10 ans,4.35,moyen,banque_de_france_mir
