KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-01,4.8,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-02,4.85,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-03,4.71,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-04,4.59,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-05,4.48,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-06,4.43,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-07,4.24,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-08,4.16,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-09,4.17,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-10,4.21,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-11,4.24,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2003-12,4.24,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2004-01,4.26,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2004-02,4.28,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2004-03,4.23,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2004-04,4.21,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2004-05,4.06,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N,M,FR,B,A2C,AM,R,A,2250,EUR,N,2004-06,4.06,A,F,,,P1M,,A,,,,,,,,,,4,,FR2,Cost of borrowing for households for house purchase ,"France, Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",PCPA,0
